,trial,episode,reward,total_reward,total_steps,steps
0,0,0,-74,-74,74,74
1,0,1,-24,-98,98,24
2,0,2,-118,-216,216,118
3,0,3,-231,-447,447,231
4,0,4,-113,-560,560,113
5,0,5,-69,-629,629,69
6,0,6,-3,-632,632,3
7,0,7,-31,-663,663,31
8,0,8,-116,-779,779,116
9,0,9,-131,-910,910,131
10,0,10,-45,-955,955,45
11,0,11,-35,-990,990,35
12,0,12,-107,-1097,1097,107
13,0,13,-20,-1117,1117,20
14,0,14,-50,-1167,1167,50
15,0,15,-13,-1180,1180,13
16,0,16,-45,-1225,1225,45
17,0,17,-31,-1256,1256,31
18,0,18,-33,-1289,1289,33
19,0,19,-17,-1306,1306,17
20,0,20,-19,-1325,1325,19
21,0,21,-11,-1336,1336,11
22,0,22,-2,-1338,1338,2
23,0,23,-57,-1395,1395,57
24,0,24,-35,-1430,1430,35
25,0,25,-9,-1439,1439,9
26,0,26,-25,-1464,1464,25
27,0,27,-31,-1495,1495,31
28,0,28,-26,-1521,1521,26
29,0,29,-5,-1526,1526,5
30,0,30,-15,-1541,1541,15
31,0,31,-39,-1580,1580,39
32,0,32,-3,-1583,1583,3
33,0,33,-14,-1597,1597,14
34,0,34,-40,-1637,1637,40
35,0,35,-24,-1661,1661,24
36,0,36,-8,-1669,1669,8
37,0,37,-18,-1687,1687,18
38,0,38,-17,-1704,1704,17
39,0,39,-34,-1738,1738,34
40,0,40,-1,-1739,1739,1
41,0,41,-5,-1744,1744,5
42,0,42,-39,-1783,1783,39
43,0,43,-30,-1813,1813,30
44,0,44,-8,-1821,1821,8
45,0,45,-18,-1839,1839,18
46,0,46,-17,-1856,1856,17
47,0,47,-38,-1894,1894,38
48,0,48,-93,-1987,1987,93
49,0,49,-11,-1998,1998,11
50,0,50,-1,-1999,1999,1
51,0,51,-1,-2000,2000,1
52,0,52,-25,-2025,2025,25
53,0,53,-19,-2044,2044,19
54,0,54,-9,-2053,2053,9
55,0,55,-8,-2061,2061,8
56,0,56,-1,-2062,2062,1
57,0,57,-2,-2064,2064,2
58,0,58,-5,-2069,2069,5
59,0,59,-10,-2079,2079,10
60,0,60,-53,-2132,2132,53
61,0,61,-3,-2135,2135,3
62,0,62,-16,-2151,2151,16
63,0,63,-5,-2156,2156,5
64,0,64,-12,-2168,2168,12
65,0,65,0,-2168,2168,0
66,0,66,-7,-2175,2175,7
67,0,67,-16,-2191,2191,16
68,0,68,-2,-2193,2193,2
69,0,69,0,-2193,2193,0
70,0,70,-2,-2195,2195,2
71,0,71,-5,-2200,2200,5
72,0,72,-6,-2206,2206,6
73,0,73,-12,-2218,2218,12
74,0,74,-5,-2223,2223,5
75,0,75,-7,-2230,2230,7
76,0,76,-4,-2234,2234,4
77,0,77,-2,-2236,2236,2
78,0,78,-10,-2246,2246,10
79,0,79,-19,-2265,2265,19
80,0,80,-14,-2279,2279,14
81,0,81,-6,-2285,2285,6
82,0,82,-8,-2293,2293,8
83,0,83,-2,-2295,2295,2
84,0,84,-15,-2310,2310,15
85,0,85,-7,-2317,2317,7
86,0,86,-6,-2323,2323,6
87,0,87,-3,-2326,2326,3
88,0,88,-10,-2336,2336,10
89,0,89,-21,-2357,2357,21
90,0,90,-8,-2365,2365,8
91,0,91,-9,-2374,2374,9
92,0,92,-4,-2378,2378,4
93,0,93,-10,-2388,2388,10
94,0,94,-6,-2394,2394,6
95,0,95,-1,-2395,2395,1
96,0,96,-12,-2407,2407,12
97,0,97,-14,-2421,2421,14
98,0,98,-1,-2422,2422,1
99,0,99,-8,-2430,2430,8
