,trial,episode,reward,total_reward,total_steps,steps
0,0,0,-55,-55,55,55
1,0,1,-74,-129,129,74
2,0,2,-337,-466,466,337
3,0,3,-156,-622,622,156
4,0,4,-123,-745,745,123
5,0,5,-83,-828,828,83
6,0,6,-22,-850,850,22
7,0,7,-99,-949,949,99
8,0,8,-24,-973,973,24
9,0,9,-2,-975,975,2
10,0,10,-36,-1011,1011,36
11,0,11,-24,-1035,1035,24
12,0,12,-470,-1505,1505,470
13,0,13,-85,-1590,1590,85
14,0,14,-230,-1820,1820,230
15,0,15,-14,-1834,1834,14
16,0,16,-5,-1839,1839,5
17,0,17,-197,-2036,2036,197
18,0,18,-277,-2313,2313,277
19,0,19,-130,-2443,2443,130
20,0,20,-43,-2486,2486,43
21,0,21,-52,-2538,2538,52
22,0,22,-43,-2581,2581,43
23,0,23,-12,-2593,2593,12
24,0,24,-98,-2691,2691,98
25,0,25,-47,-2738,2738,47
26,0,26,-132,-2870,2870,132
27,0,27,-68,-2938,2938,68
28,0,28,-9,-2947,2947,9
29,0,29,-29,-2976,2976,29
30,0,30,-46,-3022,3022,46
31,0,31,-103,-3125,3125,103
32,0,32,-105,-3230,3230,105
33,0,33,-212,-3442,3442,212
34,0,34,0,-3442,3442,0
35,0,35,-21,-3463,3463,21
36,0,36,-17,-3480,3480,17
37,0,37,-22,-3502,3502,22
38,0,38,-270,-3772,3772,270
39,0,39,-124,-3896,3896,124
40,0,40,-10,-3906,3906,10
41,0,41,-154,-4060,4060,154
42,0,42,-101,-4161,4161,101
43,0,43,-26,-4187,4187,26
44,0,44,-29,-4216,4216,29
45,0,45,-1,-4217,4217,1
46,0,46,-28,-4245,4245,28
47,0,47,-147,-4392,4392,147
48,0,48,-79,-4471,4471,79
49,0,49,-39,-4510,4510,39
50,0,50,-197,-4707,4707,197
51,0,51,-17,-4724,4724,17
52,0,52,-18,-4742,4742,18
53,0,53,-99,-4841,4841,99
54,0,54,-30,-4871,4871,30
55,0,55,-124,-4995,4995,124
56,0,56,-14,-5009,5009,14
57,0,57,-10,-5019,5019,10
58,0,58,-184,-5203,5203,184
59,0,59,-162,-5365,5365,162
60,0,60,-55,-5420,5420,55
61,0,61,-16,-5436,5436,16
62,0,62,-2,-5438,5438,2
63,0,63,-54,-5492,5492,54
64,0,64,-120,-5612,5612,120
65,0,65,-118,-5730,5730,118
66,0,66,0,-5730,5730,0
67,0,67,-66,-5796,5796,66
68,0,68,-82,-5878,5878,82
69,0,69,-9,-5887,5887,9
70,0,70,-131,-6018,6018,131
71,0,71,-47,-6065,6065,47
72,0,72,0,-6065,6065,0
73,0,73,-14,-6079,6079,14
74,0,74,-37,-6116,6116,37
75,0,75,-23,-6139,6139,23
76,0,76,-156,-6295,6295,156
77,0,77,-53,-6348,6348,53
78,0,78,-26,-6374,6374,26
79,0,79,-7,-6381,6381,7
80,0,80,-62,-6443,6443,62
81,0,81,-137,-6580,6580,137
82,0,82,-35,-6615,6615,35
83,0,83,-17,-6632,6632,17
84,0,84,-38,-6670,6670,38
85,0,85,-56,-6726,6726,56
86,0,86,-41,-6767,6767,41
87,0,87,-328,-7095,7095,328
88,0,88,-53,-7148,7148,53
89,0,89,0,-7148,7148,0
90,0,90,-40,-7188,7188,40
91,0,91,-170,-7358,7358,170
92,0,92,-276,-7634,7634,276
93,0,93,-7,-7641,7641,7
94,0,94,-41,-7682,7682,41
95,0,95,-119,-7801,7801,119
96,0,96,-27,-7828,7828,27
97,0,97,-7,-7835,7835,7
98,0,98,-18,-7853,7853,18
99,0,99,-72,-7925,7925,72
