,trial,episode,reward,total_reward,total_steps,steps
0,0,0,-79,-79,79,79
1,0,1,-75,-154,154,75
2,0,2,-247,-401,401,247
3,0,3,-86,-487,487,86
4,0,4,-124,-611,611,124
5,0,5,-48,-659,659,48
6,0,6,-129,-788,788,129
7,0,7,-85,-873,873,85
8,0,8,-153,-1026,1026,153
9,0,9,-88,-1114,1114,88
10,0,10,-1,-1115,1115,1
11,0,11,-18,-1133,1133,18
12,0,12,-74,-1207,1207,74
13,0,13,-9,-1216,1216,9
14,0,14,-10,-1226,1226,10
15,0,15,-10,-1236,1236,10
16,0,16,-17,-1253,1253,17
17,0,17,-26,-1279,1279,26
18,0,18,-6,-1285,1285,6
19,0,19,-26,-1311,1311,26
20,0,20,-50,-1361,1361,50
21,0,21,-10,-1371,1371,10
22,0,22,-14,-1385,1385,14
23,0,23,-6,-1391,1391,6
24,0,24,-2,-1393,1393,2
25,0,25,-12,-1405,1405,12
26,0,26,-12,-1417,1417,12
27,0,27,-15,-1432,1432,15
28,0,28,-17,-1449,1449,17
29,0,29,-1,-1450,1450,1
30,0,30,-2,-1452,1452,2
31,0,31,-3,-1455,1455,3
32,0,32,-8,-1463,1463,8
33,0,33,-18,-1481,1481,18
34,0,34,-7,-1488,1488,7
35,0,35,-1,-1489,1489,1
36,0,36,-33,-1522,1522,33
37,0,37,-19,-1541,1541,19
38,0,38,-15,-1556,1556,15
39,0,39,-1,-1557,1557,1
40,0,40,-26,-1583,1583,26
41,0,41,-24,-1607,1607,24
42,0,42,-7,-1614,1614,7
43,0,43,-21,-1635,1635,21
44,0,44,-18,-1653,1653,18
45,0,45,-8,-1661,1661,8
46,0,46,-20,-1681,1681,20
47,0,47,-6,-1687,1687,6
48,0,48,-4,-1691,1691,4
49,0,49,-35,-1726,1726,35
50,0,50,-9,-1735,1735,9
51,0,51,-2,-1737,1737,2
52,0,52,-3,-1740,1740,3
53,0,53,-8,-1748,1748,8
54,0,54,-8,-1756,1756,8
55,0,55,-10,-1766,1766,10
56,0,56,-1,-1767,1767,1
57,0,57,-16,-1783,1783,16
58,0,58,-6,-1789,1789,6
59,0,59,-15,-1804,1804,15
60,0,60,-2,-1806,1806,2
61,0,61,-8,-1814,1814,8
62,0,62,-6,-1820,1820,6
63,0,63,-14,-1834,1834,14
64,0,64,-9,-1843,1843,9
65,0,65,-4,-1847,1847,4
66,0,66,-12,-1859,1859,12
67,0,67,-15,-1874,1874,15
68,0,68,0,-1874,1874,0
69,0,69,-1,-1875,1875,1
70,0,70,-4,-1879,1879,4
71,0,71,-28,-1907,1907,28
72,0,72,-2,-1909,1909,2
73,0,73,-29,-1938,1938,29
74,0,74,-1,-1939,1939,1
75,0,75,-17,-1956,1956,17
76,0,76,-3,-1959,1959,3
77,0,77,-21,-1980,1980,21
78,0,78,-6,-1986,1986,6
79,0,79,-1,-1987,1987,1
80,0,80,-2,-1989,1989,2
81,0,81,-3,-1992,1992,3
82,0,82,-13,-2005,2005,13
83,0,83,-18,-2023,2023,18
84,0,84,-5,-2028,2028,5
85,0,85,-4,-2032,2032,4
86,0,86,-14,-2046,2046,14
87,0,87,-7,-2053,2053,7
88,0,88,-11,-2064,2064,11
89,0,89,-3,-2067,2067,3
90,0,90,-3,-2070,2070,3
91,0,91,-5,-2075,2075,5
92,0,92,-3,-2078,2078,3
93,0,93,-1,-2079,2079,1
94,0,94,-6,-2085,2085,6
95,0,95,-7,-2092,2092,7
96,0,96,-5,-2097,2097,5
97,0,97,-9,-2106,2106,9
98,0,98,-8,-2114,2114,8
99,0,99,-14,-2128,2128,14
