,trial,episode,reward,total_reward,total_steps,steps
0,0,0,-86,-86,86,86
1,0,1,-70,-156,156,70
2,0,2,-18,-174,174,18
3,0,3,-13,-187,187,13
4,0,4,-147,-334,334,147
5,0,5,-251,-585,585,251
6,0,6,-214,-799,799,214
7,0,7,-8,-807,807,8
8,0,8,-5,-812,812,5
9,0,9,-42,-854,854,42
10,0,10,-54,-908,908,54
11,0,11,-111,-1019,1019,111
12,0,12,-19,-1038,1038,19
13,0,13,-111,-1149,1149,111
14,0,14,-9,-1158,1158,9
15,0,15,-7,-1165,1165,7
16,0,16,-21,-1186,1186,21
17,0,17,-17,-1203,1203,17
18,0,18,0,-1203,1203,0
19,0,19,-48,-1251,1251,48
20,0,20,-25,-1276,1276,25
21,0,21,-72,-1348,1348,72
22,0,22,-9,-1357,1357,9
23,0,23,-20,-1377,1377,20
24,0,24,-28,-1405,1405,28
25,0,25,-18,-1423,1423,18
26,0,26,-51,-1474,1474,51
27,0,27,-7,-1481,1481,7
28,0,28,-11,-1492,1492,11
29,0,29,-2,-1494,1494,2
30,0,30,-4,-1498,1498,4
31,0,31,-6,-1504,1504,6
32,0,32,-10,-1514,1514,10
33,0,33,-15,-1529,1529,15
34,0,34,-7,-1536,1536,7
35,0,35,-15,-1551,1551,15
36,0,36,-54,-1605,1605,54
37,0,37,0,-1605,1605,0
38,0,38,-1,-1606,1606,1
39,0,39,-1,-1607,1607,1
40,0,40,-15,-1622,1622,15
41,0,41,-15,-1637,1637,15
42,0,42,-21,-1658,1658,21
43,0,43,-10,-1668,1668,10
44,0,44,-5,-1673,1673,5
45,0,45,-8,-1681,1681,8
46,0,46,-6,-1687,1687,6
47,0,47,-1,-1688,1688,1
48,0,48,-3,-1691,1691,3
49,0,49,-12,-1703,1703,12
50,0,50,-19,-1722,1722,19
51,0,51,-4,-1726,1726,4
52,0,52,-6,-1732,1732,6
53,0,53,-5,-1737,1737,5
54,0,54,-8,-1745,1745,8
55,0,55,-4,-1749,1749,4
56,0,56,-2,-1751,1751,2
57,0,57,-8,-1759,1759,8
58,0,58,-4,-1763,1763,4
59,0,59,-7,-1770,1770,7
60,0,60,0,-1770,1770,0
61,0,61,-8,-1778,1778,8
62,0,62,-12,-1790,1790,12
63,0,63,-16,-1806,1806,16
64,0,64,-4,-1810,1810,4
65,0,65,-3,-1813,1813,3
66,0,66,-5,-1818,1818,5
67,0,67,-3,-1821,1821,3
68,0,68,-4,-1825,1825,4
69,0,69,-4,-1829,1829,4
70,0,70,-12,-1841,1841,12
71,0,71,-6,-1847,1847,6
72,0,72,-8,-1855,1855,8
73,0,73,-8,-1863,1863,8
74,0,74,-2,-1865,1865,2
75,0,75,-12,-1877,1877,12
76,0,76,-2,-1879,1879,2
77,0,77,-4,-1883,1883,4
78,0,78,-5,-1888,1888,5
79,0,79,-24,-1912,1912,24
80,0,80,-8,-1920,1920,8
81,0,81,-1,-1921,1921,1
82,0,82,0,-1921,1921,0
83,0,83,-2,-1923,1923,2
84,0,84,-29,-1952,1952,29
85,0,85,-2,-1954,1954,2
86,0,86,-4,-1958,1958,4
87,0,87,-14,-1972,1972,14
88,0,88,-15,-1987,1987,15
89,0,89,-4,-1991,1991,4
90,0,90,-17,-2008,2008,17
91,0,91,-1,-2009,2009,1
92,0,92,-3,-2012,2012,3
93,0,93,-6,-2018,2018,6
94,0,94,-5,-2023,2023,5
95,0,95,-6,-2029,2029,6
96,0,96,-18,-2047,2047,18
97,0,97,-7,-2054,2054,7
98,0,98,-4,-2058,2058,4
99,0,99,-11,-2069,2069,11
