,trial,episode,reward,total_reward,total_steps,steps
0,0,0,-126,-126,126,126
1,0,1,-360,-486,486,360
2,0,2,-203,-689,689,203
3,0,3,-64,-753,753,64
4,0,4,-16,-769,769,16
5,0,5,-25,-794,794,25
6,0,6,-37,-831,831,37
7,0,7,-38,-869,869,38
8,0,8,-78,-947,947,78
9,0,9,-31,-978,978,31
10,0,10,-64,-1042,1042,64
11,0,11,-33,-1075,1075,33
12,0,12,-19,-1094,1094,19
13,0,13,-10,-1104,1104,10
14,0,14,-34,-1138,1138,34
15,0,15,-59,-1197,1197,59
16,0,16,-63,-1260,1260,63
17,0,17,-14,-1274,1274,14
18,0,18,-10,-1284,1284,10
19,0,19,-20,-1304,1304,20
20,0,20,-20,-1324,1324,20
21,0,21,-10,-1334,1334,10
22,0,22,-25,-1359,1359,25
23,0,23,-7,-1366,1366,7
24,0,24,-3,-1369,1369,3
25,0,25,-19,-1388,1388,19
26,0,26,-8,-1396,1396,8
27,0,27,-7,-1403,1403,7
28,0,28,-38,-1441,1441,38
29,0,29,-11,-1452,1452,11
30,0,30,-10,-1462,1462,10
31,0,31,-22,-1484,1484,22
32,0,32,0,-1484,1484,0
33,0,33,-20,-1504,1504,20
34,0,34,-8,-1512,1512,8
35,0,35,-16,-1528,1528,16
36,0,36,-5,-1533,1533,5
37,0,37,-3,-1536,1536,3
38,0,38,-9,-1545,1545,9
39,0,39,-8,-1553,1553,8
40,0,40,-7,-1560,1560,7
41,0,41,-7,-1567,1567,7
42,0,42,-21,-1588,1588,21
43,0,43,-7,-1595,1595,7
44,0,44,-4,-1599,1599,4
45,0,45,-11,-1610,1610,11
46,0,46,0,-1610,1610,0
47,0,47,-19,-1629,1629,19
48,0,48,-9,-1638,1638,9
49,0,49,-18,-1656,1656,18
50,0,50,-18,-1674,1674,18
51,0,51,-35,-1709,1709,35
52,0,52,-9,-1718,1718,9
53,0,53,-33,-1751,1751,33
54,0,54,-12,-1763,1763,12
55,0,55,-15,-1778,1778,15
56,0,56,-7,-1785,1785,7
57,0,57,-12,-1797,1797,12
58,0,58,-10,-1807,1807,10
59,0,59,-10,-1817,1817,10
60,0,60,-4,-1821,1821,4
61,0,61,-12,-1833,1833,12
62,0,62,-18,-1851,1851,18
63,0,63,-9,-1860,1860,9
64,0,64,-8,-1868,1868,8
65,0,65,-11,-1879,1879,11
66,0,66,-2,-1881,1881,2
67,0,67,-8,-1889,1889,8
68,0,68,-5,-1894,1894,5
69,0,69,-10,-1904,1904,10
70,0,70,-23,-1927,1927,23
71,0,71,-2,-1929,1929,2
72,0,72,-6,-1935,1935,6
73,0,73,-7,-1942,1942,7
74,0,74,-7,-1949,1949,7
75,0,75,-21,-1970,1970,21
76,0,76,-14,-1984,1984,14
77,0,77,-5,-1989,1989,5
78,0,78,-1,-1990,1990,1
79,0,79,-9,-1999,1999,9
80,0,80,-17,-2016,2016,17
81,0,81,-15,-2031,2031,15
82,0,82,-12,-2043,2043,12
83,0,83,-4,-2047,2047,4
84,0,84,-7,-2054,2054,7
85,0,85,-2,-2056,2056,2
86,0,86,-4,-2060,2060,4
87,0,87,-4,-2064,2064,4
88,0,88,-4,-2068,2068,4
89,0,89,-7,-2075,2075,7
90,0,90,-9,-2084,2084,9
91,0,91,-6,-2090,2090,6
92,0,92,-8,-2098,2098,8
93,0,93,-16,-2114,2114,16
94,0,94,-6,-2120,2120,6
95,0,95,-12,-2132,2132,12
96,0,96,-4,-2136,2136,4
97,0,97,-3,-2139,2139,3
98,0,98,-10,-2149,2149,10
99,0,99,-7,-2156,2156,7
