,trial,episode,reward,total_reward,total_steps,steps
0,0,0,-93,-93,93,93
1,0,1,-133,-226,226,133
2,0,2,-7,-233,233,7
3,0,3,-14,-247,247,14
4,0,4,-198,-445,445,198
5,0,5,-30,-475,475,30
6,0,6,-77,-552,552,77
7,0,7,-104,-656,656,104
8,0,8,-424,-1080,1080,424
9,0,9,-272,-1352,1352,272
10,0,10,-70,-1422,1422,70
11,0,11,-74,-1496,1496,74
12,0,12,-27,-1523,1523,27
13,0,13,-159,-1682,1682,159
14,0,14,-45,-1727,1727,45
15,0,15,-37,-1764,1764,37
16,0,16,-4,-1768,1768,4
17,0,17,-15,-1783,1783,15
18,0,18,-83,-1866,1866,83
19,0,19,-14,-1880,1880,14
20,0,20,-39,-1919,1919,39
21,0,21,-25,-1944,1944,25
22,0,22,-38,-1982,1982,38
23,0,23,-6,-1988,1988,6
24,0,24,0,-1988,1988,0
25,0,25,-49,-2037,2037,49
26,0,26,-19,-2056,2056,19
27,0,27,-55,-2111,2111,55
28,0,28,-6,-2117,2117,6
29,0,29,-65,-2182,2182,65
30,0,30,-32,-2214,2214,32
31,0,31,-7,-2221,2221,7
32,0,32,-29,-2250,2250,29
33,0,33,-27,-2277,2277,27
34,0,34,-72,-2349,2349,72
35,0,35,-19,-2368,2368,19
36,0,36,-14,-2382,2382,14
37,0,37,-14,-2396,2396,14
38,0,38,-31,-2427,2427,31
39,0,39,-2,-2429,2429,2
40,0,40,-11,-2440,2440,11
41,0,41,-2,-2442,2442,2
42,0,42,-36,-2478,2478,36
43,0,43,-55,-2533,2533,55
44,0,44,-58,-2591,2591,58
45,0,45,-44,-2635,2635,44
46,0,46,-16,-2651,2651,16
47,0,47,-35,-2686,2686,35
48,0,48,-45,-2731,2731,45
49,0,49,-28,-2759,2759,28
50,0,50,-2,-2761,2761,2
51,0,51,-6,-2767,2767,6
52,0,52,-11,-2778,2778,11
53,0,53,-9,-2787,2787,9
54,0,54,-23,-2810,2810,23
55,0,55,-20,-2830,2830,20
56,0,56,-75,-2905,2905,75
57,0,57,-11,-2916,2916,11
58,0,58,-27,-2943,2943,27
59,0,59,-17,-2960,2960,17
60,0,60,-1,-2961,2961,1
61,0,61,-1,-2962,2962,1
62,0,62,-20,-2982,2982,20
63,0,63,-21,-3003,3003,21
64,0,64,-49,-3052,3052,49
65,0,65,-29,-3081,3081,29
66,0,66,-3,-3084,3084,3
67,0,67,-8,-3092,3092,8
68,0,68,-31,-3123,3123,31
69,0,69,-48,-3171,3171,48
70,0,70,-21,-3192,3192,21
71,0,71,-46,-3238,3238,46
72,0,72,-55,-3293,3293,55
73,0,73,-27,-3320,3320,27
74,0,74,-50,-3370,3370,50
75,0,75,-18,-3388,3388,18
76,0,76,-29,-3417,3417,29
77,0,77,-27,-3444,3444,27
78,0,78,-1,-3445,3445,1
79,0,79,-6,-3451,3451,6
80,0,80,-1,-3452,3452,1
81,0,81,-28,-3480,3480,28
82,0,82,-31,-3511,3511,31
83,0,83,-22,-3533,3533,22
84,0,84,-2,-3535,3535,2
85,0,85,-26,-3561,3561,26
86,0,86,-15,-3576,3576,15
87,0,87,-55,-3631,3631,55
88,0,88,-5,-3636,3636,5
89,0,89,-21,-3657,3657,21
90,0,90,-7,-3664,3664,7
91,0,91,-27,-3691,3691,27
92,0,92,-93,-3784,3784,93
93,0,93,-67,-3851,3851,67
94,0,94,-20,-3871,3871,20
95,0,95,-44,-3915,3915,44
96,0,96,-24,-3939,3939,24
97,0,97,-4,-3943,3943,4
98,0,98,-61,-4004,4004,61
99,0,99,-27,-4031,4031,27
