,trial,episode,reward,total_reward,total_steps,steps
0,0,0,-161,-161,161,161
1,0,1,-69,-230,230,69
2,0,2,-73,-303,303,73
3,0,3,-89,-392,392,89
4,0,4,-74,-466,466,74
5,0,5,0,-466,466,0
6,0,6,-255,-721,721,255
7,0,7,-39,-760,760,39
8,0,8,-14,-774,774,14
9,0,9,-47,-821,821,47
10,0,10,-38,-859,859,38
11,0,11,-4,-863,863,4
12,0,12,-61,-924,924,61
13,0,13,-37,-961,961,37
14,0,14,-122,-1083,1083,122
15,0,15,-41,-1124,1124,41
16,0,16,-39,-1163,1163,39
17,0,17,-39,-1202,1202,39
18,0,18,-24,-1226,1226,24
19,0,19,-12,-1238,1238,12
20,0,20,-1,-1239,1239,1
21,0,21,-3,-1242,1242,3
22,0,22,-5,-1247,1247,5
23,0,23,-79,-1326,1326,79
24,0,24,0,-1326,1326,0
25,0,25,-33,-1359,1359,33
26,0,26,-5,-1364,1364,5
27,0,27,-9,-1373,1373,9
28,0,28,-12,-1385,1385,12
29,0,29,-6,-1391,1391,6
30,0,30,-9,-1400,1400,9
31,0,31,-36,-1436,1436,36
32,0,32,-32,-1468,1468,32
33,0,33,-2,-1470,1470,2
34,0,34,-28,-1498,1498,28
35,0,35,-25,-1523,1523,25
36,0,36,0,-1523,1523,0
37,0,37,-7,-1530,1530,7
38,0,38,-21,-1551,1551,21
39,0,39,-9,-1560,1560,9
40,0,40,-26,-1586,1586,26
41,0,41,-13,-1599,1599,13
42,0,42,-20,-1619,1619,20
43,0,43,-6,-1625,1625,6
44,0,44,-1,-1626,1626,1
45,0,45,-17,-1643,1643,17
46,0,46,-25,-1668,1668,25
47,0,47,-2,-1670,1670,2
48,0,48,-28,-1698,1698,28
49,0,49,-6,-1704,1704,6
50,0,50,-3,-1707,1707,3
51,0,51,-6,-1713,1713,6
52,0,52,-1,-1714,1714,1
53,0,53,-3,-1717,1717,3
54,0,54,-5,-1722,1722,5
55,0,55,-17,-1739,1739,17
56,0,56,-10,-1749,1749,10
57,0,57,-5,-1754,1754,5
58,0,58,-22,-1776,1776,22
59,0,59,-84,-1860,1860,84
60,0,60,-16,-1876,1876,16
61,0,61,-14,-1890,1890,14
62,0,62,-16,-1906,1906,16
63,0,63,-1,-1907,1907,1
64,0,64,-6,-1913,1913,6
65,0,65,-5,-1918,1918,5
66,0,66,-6,-1924,1924,6
67,0,67,0,-1924,1924,0
68,0,68,-26,-1950,1950,26
69,0,69,-2,-1952,1952,2
70,0,70,-10,-1962,1962,10
71,0,71,-4,-1966,1966,4
72,0,72,-3,-1969,1969,3
73,0,73,-11,-1980,1980,11
74,0,74,-6,-1986,1986,6
75,0,75,-8,-1994,1994,8
76,0,76,-18,-2012,2012,18
77,0,77,-1,-2013,2013,1
78,0,78,-7,-2020,2020,7
79,0,79,-13,-2033,2033,13
80,0,80,-4,-2037,2037,4
81,0,81,-9,-2046,2046,9
82,0,82,-2,-2048,2048,2
83,0,83,-8,-2056,2056,8
84,0,84,-3,-2059,2059,3
85,0,85,-4,-2063,2063,4
86,0,86,-18,-2081,2081,18
87,0,87,-6,-2087,2087,6
88,0,88,-10,-2097,2097,10
89,0,89,-7,-2104,2104,7
90,0,90,-7,-2111,2111,7
91,0,91,-4,-2115,2115,4
92,0,92,-2,-2117,2117,2
93,0,93,-2,-2119,2119,2
94,0,94,-3,-2122,2122,3
95,0,95,0,-2122,2122,0
96,0,96,-1,-2123,2123,1
97,0,97,0,-2123,2123,0
98,0,98,-8,-2131,2131,8
99,0,99,-12,-2143,2143,12
